但	340	223	0
如果	294	194	0
因为	247	164	0
但是	197	140	0
而	190	541	3
并	167	274	0
也	147	1023	0
为了	119	84 0
并且	113	56 0
由于	113	75	0
却	107	192	0
以及	101	149 0
甚至	98	75	0
因此	92	52	0
而且	88	60	0
所以	64	39	0
不过	62	77	0
其中	59	81	12
还	55	682	0
之后	55	86	0
为	51	646	603
同时	47	79	5
然而	43	27	0
又	41	239	8
即使	41	50	0
如	40	75	16
及	39	172	170
使	38	145	0
更	37	393	100
然后	37	18	0
除了	34	92	0
才	29	234	0
尤其	27	29	0
因	25	65	0
包括	25	89	5
若	25	19	0
尽管	24	56	0
不管	24	20	0
导致	23	49	0
可是	22	19	1
比如	20	11	0
虽然	19	178	0
无论	18	39	0
只要	17	55	0
以后	16	39	3
或者	16	84	0
造成	15	92	0
例如	15	13	0
让	14	327	200
于是	14	16	0
因而	14	12	0
且	13	23	0
表示	12	113	100
或是	12	31	0
之前	11	32	2
以便	11	10	0
原因	10	55	45
反而	10	15	0
希望	10	140	140
使得	10	36	0
另外	9	35	0
譬如	9	6	0
一旦	9	15	0
后来	9	35	3
否则	8	20	0
随后	8	5	3
则	8	102	5
目的	8	25	23
既然	7	10	0
即	7	41	0
从而	7	12	0
除非	7	17	0
以来	7	38	2
加上	7	70	3
理由	6	26	24
不仅	6	91	0
以免	6	5	0
此外	6	7	0
当	5	99	20
即便	5	2	0
要求	5	106	106
当时	5	79	10
还有	5	11	2
比起	4	7	2
仍然	4	68	0
现在	4	169	85
必须	4	110	0
引起	4	31	0
竟然	4	19	0
以前	4	44	40
企图	4	10	8
以致	4	1	0
随着	4	45	3
之所以	4	9	0
随即	3	5	0
主要	3	105	100
倘若	3	2	0
结果	3	83	61
最后	3	62	46
至少	3	48	45
与此同时	3	3	0
引发	3	22	2
同比	3	4	4
那么	3	98	14
尔后	3	4	0
可能	3	286	280
假如	3	2	0
不论	3	17	0
进而	3	9	0
看出	2	3	1
试图	2	13	13
显示	2	19	19
特别	2	71	65
何况	2	3	1
说明	2	19	18
防止	2	18	18
这样	2	140	138
接下来	2	2	0
证明	2	28	26
毕竟	2	12	12
不同	2	118	118
鉴于	2	2	0
哪怕	2	2	0
虽	2	33	0
如今	2	35	1
促进	2	22	10
相对	2	18	2
难怪	2	3	0
前夕	2	1	1
接着	2	9	0
总之	2	0	0
指出	2	40	40
致使	2	3	0
不然	2	3	1
规定	2	65	65
表态	1	3	3
阐述	1	1	1
此前	1	11	5
例外	1	1	1
由此	1	4	2
被迫	1	8	8
正值	1	0	0
免得	1	0	0
之外	1	54	5
先前	1	4	2
对照	1	3	3
与其	1	14	0
必然	1	12	12
原来	1	15	10
针对	1	34	29
当年	1	17	12
预计	1	23	18
其后	1	2	0
总的来说	1	1	0
最近	1	35	25
反观	1	1	1
甚	1	10	10
获益	1	1	1
继而	1	0	0
仅	1	35	30
有的	1	31	31
出于	1	5	4
或许	1	35	0
总而言之	1	1	0
统称	1	0	0
表明	1	10	10
当然	1	37	0
不如	1	16	10
其次	1	7	0
亦	1	15	0	
举凡	1	1	0
原先	1	8	8
受到	1	75	75
反倒	1	6	0
目前	1	154	15
要是	1	1	0
有赖于	1	1	0
用以	1	0	1
目标	1	47	47
迫使	1	4	2
可见	1	1	0
经过	1	52	42
至于	1	6	0
以下	1	15	15
实际上	1	18	2
过去	1	100	85
此时	1	5	3
而后	1	0	0
来自	1	58	58
用于	1	14	14
例子	1	5	5
去年	1	91	65
相比	1	11	11
只不过	1	3	0
对比	1	10	10
其实	1	38	0
居然	1	8	0
曾经	1	34	30
偏偏	1	2	0
基于	1	12	2
剔除	1	1	1
诸如	1	13	13
故	1	7	4
以至	1	3	0
招致	1	0	0
看来	1	24	24
归纳	1	2	2
伴随	1	2	2
日后	1	4	3
宣布	1	31	31
