要是	326	2497	2823
多亏	469	1295	1764
当	6	1725	1731
日前	71	1042	1113
否则	70	959	1029
并	255	765	1020
基于	50	890	940
但	633	289	922
然后	24	860	884
实质上	61	762	823
意即	34	755	789
一项	2	772	774
可见	3	746	749
因而	479	257	736
才	35	692	727
表示	25	698	723
但是	592	106	698
让	5	623	628
有赖于	68	560	628
如此一来	352	203	555
这是	2	536	538
目的	5	513	518
现年	12	486	498
造成	23	461	484
第三	1	470	471
不过	339	123	462
引起	2	443	445
举例	1	435	436
今年	7	425	432
以后	131	289	420
无论	18	381	399
哪怕	44	350	394
证明	134	231	365
直到	16	335	351
所幸	263	63	326
结束	3	313	316
继而	1	303	304
诸如	3	298	301
任何	1	299	300
且	11	288	299
有的	1	298	299
为的是	135	157	292
宣布	9	280	289
并且	204	81	285
同年	128	155	283
其因	129	147	276
包括	43	230	273
而后	205	66	271
估计	2	267	269
及	17	245	262
接着	9	253	262
因	204	58	262
不同	2	255	257
必须	7	248	255
最多	17	225	242
过后	5	234	239
早上	31	198	229
今天	2	221	223
由此可见	145	77	222
甚	127	94	221
还会	12	206	218
当时	7	200	207
例子	105	99	204
或曰	33	168	201
倘若	4	197	201
然而	102	98	200
得益于	2	192	194
欠佳	15	177	192
却是	170	19	189
以及	15	174	189
以前	1	180	181
之后	26	142	168
当然	9	157	166
首先	1	165	166
以防	32	134	166
况且	1	163	164
原先	26	135	161
结果	2	158	160
最后	1	157	158
其后	8	149	157
自此	1	155	156
经常	4	151	155
进而	1	138	139
归因	1	136	137
竟然	25	112	137
曾经	4	132	136
小时候	4	130	134
仍旧	8	123	131
霎那间	1	126	127
最终	3	122	125
如今	40	82	122
这样	2	119	121
迫于	1	116	117
除了	60	53	113
比如	89	23	112
指出	3	109	112
试图	2	109	111
继续	8	102	110
同时	2	108	110
至少	9	101	110
导致	32	76	108
随即	7	101	108
显然	4	104	108
引来	7	101	108
以免	9	96	105
只不过	10	94	104
非但	1	102	103
何况	31	72	103
第二	1	101	102
明摆	3	99	102
声明	16	85	101
先前	1	92	93
还要	55	37	92
说明	2	90	92
虽	25	65	90
只需	26	64	90
与其	3	85	88
此外	76	10	86
受到	2	84	86
昔日	2	84	86
又	55	30	85
进一步	1	82	83
用于	47	36	83
遂	2	80	82
之所以	5	77	82
声称	1	80	81
可能	49	31	80
更有	1	74	75
看出	3	71	74
更何况	1	72	73
如果	16	56	72
目标	15	55	70
正值	2	68	70
使	22	47	69
当天	3	65	68
或是	1	67	68
中午	1	67	68
日后	2	65	67
即便	45	20	65
最近	2	62	64
不管	27	36	63
促进	2	61	63
来自	7	56	63
立前	53	10	63
表明	2	60	62
藉以	1	61	62
只要	4	58	62
紧接着	39	21	60
会后	14	45	59
立后	2	57	59
当年	3	55	58
预计	2	55	57
事实上	5	51	56
统称	1	55	56
无怪乎	22	34	56
有别于	1	54	55
一般来说	13	41	54
因着	4	50	54
相比之下	2	50	52
以致	4	48	52
总结	1	51	52
那么	2	49	51
反观	1	49	50
警告	9	39	48
免得	1	47	48
不仅	8	39	47
经过	1	46	47
反倒	19	27	46
在此同时	2	44	46
以图	1	42	43
早年	1	41	42
分别	14	27	41
皆是	12	28	40
不久	1	38	39
害得	1	38	39
于是	30	9	39
毕竟	4	33	37
鉴于	1	35	36
用以	1	35	36
方能	2	32	34
后来	1	33	34
必然	1	32	33
例外	12	20	32
其中	6	25	31
虽然	19	12	31
为	24	7	31
因此	20	11	31
对比	1	29	30
从而	14	15	29
就在	3	25	28
事前	7	21	28
不如	1	26	27
接下来	9	18	27
现在	4	23	27
从此	3	23	26
答案	1	25	26
原来	1	25	26
不论	5	20	25
开始	2	23	25
甚至	1	23	24
随后	6	18	24
致使	1	23	24
不但	3	20	23
当初	3	20	23
期间	5	18	23
比起	3	19	22
出于	1	21	22
在于	1	21	22
这时候	22	0	22
既	6	15	21
也就	17	4	21
一旦	2	19	21
被迫	1	19	20
要求	5	15	20
终于	2	18	20
而且	15	4	19
相对之下	3	16	19
已经	16	3	19
原因	1	18	19
总体而言	15	4	19
除非	10	8	18
前不久	3	15	18
此前	3	14	17
等到	1	16	17
难怪	13	4	17
此时	1	15	16
就是	3	13	16
势必	3	13	16
都是	1	14	15
可是	1	14	15
仍	1	14	15
仍然	2	13	15
剔除	4	11	15
详细内容	1	14	15
之前	6	9	15
促使	1	13	14
总而言之	1	13	14
不然	3	10	13
此后	5	8	13
所谓	3	10	13
此刻	1	11	12
使得	1	11	12
也	1	11	12
自然	1	11	12
二来	1	10	11
尽管如此	3	8	11
只有	4	7	11
此之	1	9	10
加之	7	3	10
乃是	1	9	10
其次	5	5	10
上午	3	7	10
设法	1	9	10
所以	1	9	10
以来	7	3	10
并非	1	8	9
倒是	1	8	9
凡是	1	8	9
更进一步	9	0	9
果然	3	6	9
还	1	8	9
假如	2	7	9
乃至	6	3	9
以下	1	8	9
之外	3	6	9
才能	3	5	8
还是	2	6	8
后面	1	7	8
举凡	5	3	8
可惜	5	3	8
例如	2	6	8
偏偏	1	7	8
以至	5	3	8
尤其	2	6	8
招致	1	7	8
正当	2	6	8
至于	4	4	8
综上	4	4	8
除此之外	4	3	7
何妨	3	4	7
目前	4	3	7
相形之下	7	0	7
以便	2	5	7
再不然	6	1	7
伴随	1	5	6
阐述	1	5	6
对此	1	5	6
反而	3	3	6
归咎于	1	5	6
即	5	1	6
譬如	1	5	6
随着	1	5	6
随之	1	5	6
下一步	1	5	6
引发	1	5	6
再加上	1	5	6
并称	2	3	5
第一	5	0	5
更	1	4	5
起因	1	4	5
去年	1	4	5
实例	1	4	5
事后	1	4	5
同比	2	3	5
因为	2	3	5
应该	2	3	5
与此同时	1	4	5
归根结底	1	3	4
归纳	1	3	4
好像	1	3	4
较早	1	3	4
就象	3	1	4
居然	2	2	4
可别	1	3	4
那是	1	3	4
迄今为止	1	3	4
谈起	4	0	4
同一天	1	3	4
为什么	1	3	4
下午	1	3	4
以上	1	3	4
不关	1	2	3
不光	2	1	3
而	1	2	3
防止	1	2	3
后续	3	0	3
即是	1	2	3
加上	1	2	3
仅	2	1	3
前夕	3	0	3
却	3	0	3
同样	2	1	3
由于	1	2	3
有鉴于此	1	2	3
再来	3	0	3
总的来说	3	0	3
总是	2	1	3
不一会	2	0	2
对照	1	1	2
而非	2	0	2
尔后	2	0	2
反之	1	1	2
更是	2	0	2
